gain,n,n_resolved,n_solver_pass,n_stable,max_slope_error,max_solver_relative_error,min_eta,max_eta
0.5,120,120,120,120,1.6956876469353954e-05,6.339107044182108e-10,0.9220503731385248,1.0030862218566878
0.8,120,120,120,120,7.094934099394212e-07,3.346531748076398e-09,0.9220503731385248,1.0030862218566878
0.9,120,120,120,120,2.5190586974699336e-07,3.272275362111326e-09,0.9220503731385248,1.0030862218566878
