model,leakage_assignment,mean_leakage,critical_gain,eta,threshold_minus_eta,direct_rate_at_eta
Chain-attached,Ascending,1.0,0.7623089728295689,0.8100194992713261,-0.04771052644175722,0.05250391696204315
Chain-attached,Descending,1.0,0.682818475139675,0.8100194992713261,-0.12720102413165113,0.14168044907181854
Hub-attached,Ascending,1.0,0.8563824518342646,0.9053736922080979,-0.04899124037383329,0.04790253994693261
Hub-attached,Descending,1.0,0.7486322117031127,0.9053736922080979,-0.15674148050498526,0.15618808924397332
