model,m,R,rho,eta,eigen_residual,components,normalized_R
Chain-attached,6,1.4722222222222223,1.8175145456950081,0.8100194992713261,8.081104934691895e-16,1,0.9999999999999999
Hub-attached,6,1.7777777777777777,1.9635845320864038,0.9053736922080979,9.595262743379685e-16,1,1.0
