model,transformation,eta,eta_error,raw_critical_gain,normalized_critical_gain,eigen_residual
Chain-attached,transpose,0.8100194992713263,2.220446049250313e-16,0.5502019240333537,0.8100194992713263,7.537433964444349e-16
Chain-attached,scale_0.5,0.8100194992713261,0.0,1.100403848066707,0.8100194992713261,8.081104934691895e-16
Chain-attached,scale_2,0.8100194992713261,0.0,0.2751009620166768,0.8100194992713261,8.081104934691895e-16
Chain-attached,critical_gain,0.8100194992713261,0.0,0.5502019240333536,0.8100194992713261,8.081104934691895e-16
Hub-attached,transpose,0.9053736922080989,9.992007221626409e-16,0.5092727018670556,0.9053736922080989,5.525382059890192e-16
Hub-attached,scale_0.5,0.9053736922080979,0.0,1.0185454037341102,0.9053736922080979,9.595262743379685e-16
Hub-attached,scale_2,0.9053736922080979,0.0,0.25463635093352754,0.9053736922080979,9.595262743379685e-16
Hub-attached,critical_gain,0.9053736922080979,0.0,0.5092727018670551,0.9053736922080979,9.595262743379685e-16
