model,gain,spectral_rate,direct_eigen_rate,eta
Chain-attached,0.0,-1.0,-1.0,0.8100194992713261
Chain-attached,0.005,-0.9938273090900924,-0.9938273090900922,0.8100194992713261
Chain-attached,0.01,-0.9876546181801849,-0.9876546181801859,0.8100194992713261
Chain-attached,0.015,-0.9814819272702773,-0.9814819272702767,0.8100194992713261
Chain-attached,0.02,-0.9753092363603697,-0.9753092363603704,0.8100194992713261
Chain-attached,0.025,-0.9691365454504621,-0.9691365454504612,0.8100194992713261
Chain-attached,0.03,-0.9629638545405546,-0.9629638545405534,0.8100194992713261
Chain-attached,0.035,-0.956791163630647,-0.9567911636306455,0.8100194992713261
Chain-attached,0.04,-0.9506184727207394,-0.950618472720739,0.8100194992713261
Chain-attached,0.045,-0.9444457818108318,-0.944445781810832,0.8100194992713261
Chain-attached,0.05,-0.9382730909009243,-0.9382730909009247,0.8100194992713261
Chain-attached,0.055,-0.9321003999910167,-0.9321003999910163,0.8100194992713261
Chain-attached,0.06,-0.9259277090811091,-0.9259277090811088,0.8100194992713261
Chain-attached,0.065,-0.9197550181712015,-0.9197550181712018,0.8100194992713261
Chain-attached,0.07,-0.913582327261294,-0.913582327261294,0.8100194992713261
Chain-attached,0.075,-0.9074096363513864,-0.9074096363513875,0.8100194992713261
Chain-attached,0.08,-0.9012369454414788,-0.9012369454414791,0.8100194992713261
Chain-attached,0.085,-0.8950642545315712,-0.8950642545315715,0.8100194992713261
Chain-attached,0.09,-0.8888915636216637,-0.8888915636216634,0.8100194992713261
Chain-attached,0.095,-0.8827188727117561,-0.8827188727117561,0.8100194992713261
Chain-attached,0.1,-0.8765461818018485,-0.8765461818018495,0.8100194992713261
Chain-attached,0.105,-0.8703734908919409,-0.8703734908919413,0.8100194992713261
Chain-attached,0.11,-0.8642007999820334,-0.8642007999820334,0.8100194992713261
Chain-attached,0.115,-0.8580281090721258,-0.8580281090721256,0.8100194992713261
Chain-attached,0.12,-0.8518554181622182,-0.8518554181622169,0.8100194992713261
Chain-attached,0.125,-0.8456827272523106,-0.8456827272523105,0.8100194992713261
Chain-attached,0.13,-0.8395100363424031,-0.8395100363424026,0.8100194992713261
Chain-attached,0.135,-0.8333373454324955,-0.8333373454324957,0.8100194992713261
Chain-attached,0.14,-0.8271646545225879,-0.8271646545225877,0.8100194992713261
Chain-attached,0.145,-0.8209919636126803,-0.8209919636126802,0.8100194992713261
