model,gain,eta,R,rho,m,spectral_rate,critical_gain,recovery_time,slope_20_40,slope_40_80,slope_interval_difference,slope_abs_error,resolved,stable,solver_relative_error,solver_slope_error,solver_pass,direct_unshifted_relative_error,initial_mass_slope,initial_slope_error,peak_total_activity,final_total_activity
Chain-attached,0.5,0.8100194992713261,1.4722222222222223,1.8175145456950081,6,-0.38273090900924256,0.8100194992713261,2.6128017791629445,-0.38273096952490815,-0.382730909009484,6.05154241717365e-08,6.05156655897332e-08,True,True,4.795053215975212e-10,3.319566843629218e-14,True,4.2732867330422545e-06,-0.5,0.0,0.9999999999999999,4.08399127713801e-14
Chain-attached,0.8,0.8100194992713261,1.4722222222222223,1.8175145456950081,6,-0.012369454414788095,0.8100194992713261,80.84430941468742,-0.012369454465815255,-0.012369454414788558,5.102669675682847e-11,5.102715992799656e-11,True,True,5.373428009299171e-10,1.5232606842552343e-14,True,4.67904851766576e-07,-0.20000000000000004,8.326672684688674e-17,0.9999999999999999,0.30113392792385424
Chain-attached,0.9,0.8100194992713261,1.4722222222222223,1.8175145456950081,6,0.1110843637833634,0.8100194992713261,,0.11108436377839892,0.11108436378336284,4.9639181654015374e-12,4.96447327691385e-12,True,False,4.99728188117181e-10,4.964084698855231e-14,True,2.1020307167974066e-11,-0.10000000000000006,8.326672684688674e-17,5861.174481361919,5861.174481361919
Hub-attached,0.5,0.9053736922080979,1.7777777777777777,1.9635845320864038,6,-0.4477418503506989,0.9053736922080979,2.233429819474634,-0.4477418745272831,-0.44774185035097014,2.4176312951595946e-08,2.4176584179080862e-08,True,True,7.355224256185026e-11,1.2212453270876722e-14,True,3.349343826510417e-06,-0.4999999999999999,1.1102230246251565e-16,0.9999999999999999,2.5768257511192197e-16
Hub-attached,0.8,0.9053736922080979,1.7777777777777777,1.9635845320864038,6,-0.11638696056111819,0.9053736922080979,8.592027793997342,-0.11638696059894992,-0.11638696056111886,3.7831057730919326e-11,3.78317238647341e-11,True,True,4.238449425328467e-10,3.969047313034935e-15,True,2.478247693269734e-09,-0.19999999999999998,2.7755575615628914e-17,0.9999999999999999,8.385579233926099e-05
Hub-attached,0.9,0.9053736922080979,1.7777777777777777,1.9635845320864038,6,-0.005935330631258062,0.9053736922080979,168.48261067943884,-0.0059353306357855596,-0.005935330631258879,4.526680245919845e-12,4.52749730067703e-12,True,True,1.0204609670446179e-09,2.3192819192940917e-13,True,3.2468348405199725e-09,-0.1,2.7755575615628914e-17,0.9999999999999999,0.5767873653896133
