network,family,is_toy,variant,projection,residual,exact_expected,analytic_error,dimension,rank,observed_closed,nonzero_spectrum_condition
network_003,Modular,False,Constant bias,Node + order + degree,4.756410889191597e-16,False,,144,24,True,2.613125929752753
network_003,Modular,False,Full DMWA,Node,0.09939469686525501,False,,12,12,False,5.254026280694807
network_003,Modular,False,Full DMWA,Node + order,0.022289694682744037,False,,24,17,False,6.5970064521092135
network_003,Modular,False,Full DMWA,Node + order + degree,4.7395385505367995e-16,True,1.0832099041669971e-16,144,24,True,2.613125929752753
network_004,Random,False,Coverage,Node,7.860084924917222e-16,True,1.3632774051048469e-16,12,12,True,3.9645403555712666
network_004,Random,False,Coverage,Node + order,1.0759780462233424e-15,False,,24,22,True,12.263761891118518
network_004,Random,False,Coverage,Node + order + degree,2.305715637129769e-16,False,,264,36,True,3.000000000000001
network_004,Random,False,Constant bias,Node,0.06671995893192716,False,,12,12,False,3.9645403555712666
network_004,Random,False,Constant bias,Node + order,1.0542776524514035e-15,True,1.494821794281141e-16,24,22,True,12.263761891118518
network_004,Random,False,Constant bias,Node + order + degree,2.188313791436426e-16,False,,264,36,True,3.000000000000001
network_004,Random,False,Full DMWA,Node,0.07570405285197243,False,,12,12,False,3.9645403555712666
network_004,Random,False,Full DMWA,Node + order,0.034306271146350834,False,,24,22,False,12.263761891118518
network_004,Random,False,Full DMWA,Node + order + degree,2.1918322195375803e-16,True,1.111086214506052e-16,264,36,True,3.000000000000001
network_005,Core-periphery,False,Coverage,Node,1.1733249662393786e-15,True,1.5657488310692284e-16,12,12,True,3.718525779366427
network_005,Core-periphery,False,Coverage,Node + order,1.3391246710884633e-15,False,,24,19,True,8.242075504565499
network_005,Core-periphery,False,Coverage,Node + order + degree,1.1194079220308447e-15,False,,156,29,True,3.3563094114737653
network_005,Core-periphery,False,Constant bias,Node,0.10016448474192807,False,,12,12,False,3.718525779366427
network_005,Core-periphery,False,Constant bias,Node + order,1.233153968752507e-15,True,7.705027117153176e-17,24,19,True,8.242075504565499
network_005,Core-periphery,False,Constant bias,Node + order + degree,9.271591132107412e-16,False,,156,29,True,3.3563094114737653
network_005,Core-periphery,False,Full DMWA,Node,0.10467731824154537,False,,12,12,False,3.718525779366427
network_005,Core-periphery,False,Full DMWA,Node + order,0.03450718605482926,False,,24,19,False,8.242075504565499
network_005,Core-periphery,False,Full DMWA,Node + order + degree,8.878452777214423e-16,True,8.180709195186186e-17,156,29,True,3.3563094114737653
network_006,Modular,False,Coverage,Node,1.1402357697371548e-15,True,1.354166260794397e-16,12,12,True,3.0098372905563884
network_006,Modular,False,Coverage,Node + order,8.421495267609644e-16,False,,24,20,True,4.352920852519888
network_006,Modular,False,Coverage,Node + order + degree,1.092662164551918e-15,False,,144,32,True,3.6017164470718797
network_006,Modular,False,Constant bias,Node,0.09929128882293874,False,,12,12,False,3.0098372905563884
network_006,Modular,False,Constant bias,Node + order,8.088950880831159e-16,True,1.697207073171988e-16,24,20,True,4.352920852519888
network_006,Modular,False,Constant bias,Node + order + degree,1.014646138112216e-15,False,,144,32,True,3.6017164470718797
network_006,Modular,False,Full DMWA,Node,0.10031953164015983,False,,12,12,False,3.0098372905563884
network_006,Modular,False,Full DMWA,Node + order,0.02460028150493636,False,,24,20,False,4.352920852519888
