network,family,variant,time,state,node,value,total,fraction,TV
toy_0,Triangle,Coverage,0.0,1,A,0.3333333333333333,1.0,0.3333333333333333,0.0
toy_0,Triangle,Coverage,0.0,1,B,0.3333333333333333,1.0,0.3333333333333333,0.0
toy_0,Triangle,Coverage,0.0,1,C,0.3333333333333333,1.0,0.3333333333333333,0.0
toy_0,Triangle,Coverage,0.0,2,A,0.3333333333333333,1.0,0.3333333333333333,0.0
toy_0,Triangle,Coverage,0.0,2,B,0.3333333333333333,1.0,0.3333333333333333,0.0
toy_0,Triangle,Coverage,0.0,2,C,0.3333333333333333,1.0,0.3333333333333333,0.0
toy_0,Triangle,Coverage,0.1,1,A,0.31707647483357126,0.9512294245007138,0.3333333333333333,0.0
toy_0,Triangle,Coverage,0.1,1,B,0.31707647483357126,0.9512294245007138,0.3333333333333333,0.0
toy_0,Triangle,Coverage,0.1,1,C,0.31707647483357126,0.9512294245007138,0.3333333333333333,0.0
toy_0,Triangle,Coverage,0.1,2,A,0.3170764748335714,0.9512294245007141,0.3333333333333333,0.0
toy_0,Triangle,Coverage,0.1,2,B,0.3170764748335714,0.9512294245007141,0.3333333333333333,0.0
toy_0,Triangle,Coverage,0.1,2,C,0.3170764748335714,0.9512294245007141,0.3333333333333333,0.0
toy_0,Triangle,Coverage,0.2,1,A,0.3016124726786531,0.9048374180359593,0.3333333333333333,0.0
toy_0,Triangle,Coverage,0.2,1,B,0.3016124726786531,0.9048374180359593,0.3333333333333333,0.0
toy_0,Triangle,Coverage,0.2,1,C,0.3016124726786531,0.9048374180359593,0.3333333333333333,0.0
toy_0,Triangle,Coverage,0.2,2,A,0.30161247267865315,0.9048374180359595,0.3333333333333333,0.0
toy_0,Triangle,Coverage,0.2,2,B,0.30161247267865315,0.9048374180359595,0.3333333333333333,0.0
toy_0,Triangle,Coverage,0.2,2,C,0.30161247267865315,0.9048374180359595,0.3333333333333333,0.0
toy_0,Triangle,Coverage,0.30000000000000004,1,A,0.2869026588083526,0.8607079764250578,0.3333333333333333,0.0
