variant,projection,n,median,q25,q75,mean,minimum,maximum,n_exact,context,value,label
Constant bias,Node,100,0.07964034679148735,0.06424803466929592,0.10323641120664286,0.08516736147021192,0.05054407600755365,0.1583836711771161,0,Nodes,0.07964034679148735,0.080
Constant bias,Node + order,100,9.178303560579004e-16,7.49580622537029e-16,1.235864189544116e-15,1.0746611837693162e-15,4.838603769520478e-16,4.947422213357789e-15,100,"Nodes +
order",0,Exact
Constant bias,Node + order + degree,100,4.3177623175938215e-16,2.936597058645347e-16,6.246225951100267e-16,5.224579837745629e-16,1.3625287971015739e-16,2.2062985346749746e-15,100,"Nodes +
order + degree",0,Exact
Coverage-only,Node,100,8.988789771083743e-16,7.265640747700107e-16,1.1110590443770398e-15,9.593213356855617e-16,3.8620357142186793e-16,2.8347430977438754e-15,100,Nodes,0,Exact
Coverage-only,Node + order,100,9.443808478977614e-16,7.812240609090357e-16,1.2219423338092484e-15,1.1146715511841997e-15,5.229127441439344e-16,4.851764954290814e-15,100,"Nodes +
order",0,Exact
Coverage-only,Node + order + degree,100,4.622185076513554e-16,3.0870361857919303e-16,6.545293021422084e-16,5.832234084839741e-16,1.5468796634913208e-16,2.9409052683831112e-15,100,"Nodes +
order + degree",0,Exact
Full W,Node,100,0.08357299678528185,0.0696868486768916,0.10512104937461014,0.09051743700548535,0.05282493709102332,0.1642673068772274,0,Nodes,0.08357299678528185,0.084
Full W,Node + order,100,0.03031247991080943,0.02263466754211259,0.03588532800231719,0.02978751304675158,0.01391230196175837,0.04738122392713131,0,"Nodes +
order",0.03031247991080943,0.030
Full W,Node + order + degree,100,4.436870167586744e-16,2.9507915299345755e-16,6.21265473003226e-16,5.198241754905887e-16,1.3754113703425561e-16,2.0970753823985665e-15,100,"Nodes +
order + degree",0,Exact
