network,family,is_toy,variant,projection,relative_L2_error,max_absolute_error,negative_fraction,finite,exact_expected,context_negative_fraction,minimum_context_state,reduced_spectral_abscissa,context,error_percent
network_012,Modular,FALSE,Full DMWA,Node,0.00376601828508358,4.6231524489891e-4,0,TRUE,FALSE,0,2.965834047177059e-5,-0.4252874130801534,Nodes,0.376601828508358
network_012,Modular,FALSE,Full DMWA,Node + order,7.8880432896907e-4,1.2401949311065e-4,0,TRUE,FALSE,0,0,0,"Nodes +
order",0.07888043289690701
network_012,Modular,FALSE,Full DMWA,Node + order + degree,2.1722539249018063e-16,4.163336342344337e-17,0,TRUE,TRUE,0,0,-0.4235933456650224,"Nodes +
order + degree",2.1722539249018064e-14
network_013,Random,FALSE,Full DMWA,Node,0.0087111472291415,6.3185922791431e-4,0,TRUE,FALSE,0,5.0616510587359134e-5,-0.4388122456852077,Nodes,0.87111472291415
network_013,Random,FALSE,Full DMWA,Node + order,6.1822663153192e-4,7.22545237465122e-5,0,TRUE,FALSE,0,0,0,"Nodes +
order",0.061822663153192
network_013,Random,FALSE,Full DMWA,Node + order + degree,2.0484299088408023e-16,5.551115123125783e-17,0,TRUE,TRUE,0,0,-0.43129650595698943,"Nodes +
order + degree",2.0484299088408024e-14
network_014,Core-periphery,FALSE,Full DMWA,Node,0.00465802660463374,5.5599690434385e-4,0,TRUE,FALSE,0,7.882342296996522e-5,-0.43687151771712635,Nodes,0.465802660463374
network_014,Core-periphery,FALSE,Full DMWA,Node + order,1.6161458267857e-4,1.99817518426286e-5,0,TRUE,FALSE,0,0,0,"Nodes +
order",0.016161458267857
network_014,Core-periphery,FALSE,Full DMWA,Node + order + degree,2.6958852997562753e-16,6.938893903907227e-17,0,TRUE,TRUE,0,0,-0.44121315351023493,"Nodes +
order + degree",2.6958852997562752e-14
network_015,Modular,FALSE,Full DMWA,Node,0.01134508480986657,0.00136166965688365,0,TRUE,FALSE,0,8.334852078266397e-5,-0.3849304239150229,Nodes,1.134508480986657
network_015,Modular,FALSE,Full DMWA,Node + order,0.00117545981973701,1.4504360906505e-4,0,TRUE,FALSE,0,0,1.507525205919753e-16,"Nodes +
order",0.117545981973701
network_015,Modular,FALSE,Full DMWA,Node + order + degree,2.294363092483126e-16,4.163336342344337e-17,0,TRUE,TRUE,0,0,-0.3808122737807734,"Nodes +
order + degree",2.294363092483126e-14
network_016,Random,FALSE,Full DMWA,Node,0.00559426261053186,6.1789961305409e-4,0,TRUE,FALSE,0,2.1534563402167805e-5,-0.3804969746646091,Nodes,0.559426261053186
network_016,Random,FALSE,Full DMWA,Node + order,5.7374589773979e-4,8.780040156328855e-5,0,TRUE,FALSE,0,0,0,"Nodes +
order",0.057374589773979
network_016,Random,FALSE,Full DMWA,Node + order + degree,2.4728045125203247e-16,5.551115123125783e-17,0,TRUE,TRUE,0,0,-0.3776982907338837,"Nodes +
order + degree",2.4728045125203245e-14
network_017,Core-periphery,FALSE,Full DMWA,Node,0.0036850859786673,3.6193057506359e-4,0,TRUE,FALSE,0,1.3794691872518e-4,-0.3948270658578523,Nodes,0.36850859786672996
network_017,Core-periphery,FALSE,Full DMWA,Node + order,4.7492403228125e-4,6.048391823460647e-5,0,TRUE,FALSE,0,0,0,"Nodes +
order",0.047492403228125
network_017,Core-periphery,FALSE,Full DMWA,Node + order + degree,2.766572266014958e-16,5.551115123125783e-17,0,TRUE,TRUE,0,0,-0.3936882622431197,"Nodes +
order + degree",2.766572266014958e-14
network_018,Modular,FALSE,Full DMWA,Node,0.00699342714429386,5.2642307995881e-4,0,TRUE,FALSE,0,7.620223440334045e-5,-0.3653133199329214,Nodes,0.699342714429386
network_018,Modular,FALSE,Full DMWA,Node + order,6.4778776275129e-4,8.927001101743243e-5,0,TRUE,FALSE,0,0,2.839167360996419e-17,"Nodes +
order",0.064778776275129
network_018,Modular,FALSE,Full DMWA,Node + order + degree,2.306100155392219e-16,5.551115123125783e-17,0,TRUE,TRUE,0,0,-0.36294130614107323,"Nodes +
order + degree",2.3061001553922188e-14
network_019,Random,FALSE,Full DMWA,Node,0.01680190390954596,0.00135918319580137,0,TRUE,FALSE,0,7.541273452547933e-5,-0.3836477742295344,Nodes,1.6801903909545959
