network,variant,R,rho,eta,g,decay,spectral_abscissa,stable
network_081,Coverage,2.4385964912280698,2.889900606174324,0.8438340356820456,0.5,1.0,-0.4074664224750477,True
network_081,Constant bias,1.4385964912280702,2.1724383463544608,0.6622035988465033,0.5,1.0,-0.24494520888899696,True
network_081,Full DMWA,1.4385964912280702,2.1712176355544535,0.662575905644163,0.5,1.0,-0.2453694803255848,True
network_082,Coverage,7.470588235294118,8.742394522254298,0.8545242629210201,0.5,1.0,-0.4148791067782559,True
network_082,Constant bias,5.67156862745098,6.793028077131348,0.8349102289955567,0.5,1.0,-0.401133220512189,True
network_082,Full DMWA,5.67156862745098,6.788665227119494,0.8354467981119595,0.5,1.0,-0.40151784514590605,True
network_083,Coverage,5.489247311827957,6.110472715745659,0.898334313429318,0.5,1.0,-0.4434143363718456,True
network_083,Constant bias,4.102150537634409,4.745606385012001,0.8644101943621342,0.5,1.0,-0.4215709124428361,True
network_083,Full DMWA,4.102150537634408,4.743190480182998,0.8648504745430637,0.5,1.0,-0.4218653805281554,True
network_084,Coverage,5.333333333333334,5.592178288419797,0.9537130360055802,0.5,1.0,-0.4757332854606448,True
network_084,Constant bias,4.125,4.417181192171307,0.9338534736385395,0.5,1.0,-0.46458409791862904,True
network_084,Full DMWA,4.125,4.416500791184378,0.9339973420210335,0.5,1.0,-0.46466657076552886,True
network_085,Coverage,5.047619047619047,5.492905965349906,0.9189341815534805,0.5,1.0,-0.4558913902247744,True
network_085,Constant bias,3.595238095238095,4.176583566173443,0.8608083708311928,0.5,1.0,-0.41915062986992113,True
network_085,Full DMWA,3.5952380952380953,4.172008505268916,0.8617523407964279,0.5,1.0,-0.4197868966182302,True
network_086,Coverage,5.864583333333333,6.806606108748673,0.8616016910094829,0.5,1.0,-0.41968544721148276,True
network_086,Constant bias,4.442708333333334,5.324361684538863,0.8344114462085256,0.5,1.0,-0.4007752383168484,True
network_086,Full DMWA,4.442708333333334,5.321855995031273,0.8348043121574971,0.5,1.0,-0.40105723854278996,True
network_087,Coverage,5.17816091954023,5.924350951151267,0.8740469567445137,0.5,1.0,-0.42794835432834744,True
network_087,Constant bias,3.9540229885057467,4.6418010086993,0.8518294905566668,0.5,1.0,-0.4130280701208716,True
network_087,Full DMWA,3.954022988505747,4.6381220956365095,0.8525051533735271,0.5,1.0,-0.413493281511081,True
network_088,Coverage,7.581081081081081,8.380966560452435,0.9045592804121421,0.5,1.0,-0.447244629702782,True
network_088,Constant bias,5.761261261261261,6.512997194861883,0.884579109876837,0.5,1.0,-0.43475943031300335,True
network_088,Full DMWA,5.761261261261261,6.509860051351338,0.8850053942504216,0.5,1.0,-0.4350316921813918,True
network_089,Coverage,6.086021505376344,6.945428398866461,0.8762629395718228,0.5,1.0,-0.42939501670090063,True
network_089,Constant bias,4.575268817204301,5.4083868686477565,0.8459581254675005,0.5,1.0,-0.4089541964932545,True
network_089,Full DMWA,4.5752688172043,5.406235181047631,0.8462948177400036,0.5,1.0,-0.4091893397915061,True
network_090,Coverage,3.8466666666666662,3.9241677652567777,0.9802503095621244,0.5,1.0,-0.4899262003565715,True
network_090,Constant bias,2.9066666666666663,3.0715273696176713,0.9463261488138632,0.5,1.0,-0.471640934125401,True
network_090,Full DMWA,2.9066666666666667,3.070091762835044,0.9467686607460019,0.5,1.0,-0.47188788483341826,True
network_091,Coverage,4.16025641025641,4.817165069246503,0.8636316901025677,0.5,1.0,-0.42104949861135976,True
network_091,Constant bias,2.9935897435897436,3.7442886931136052,0.7995082615011693,0.5,1.0,-0.3746155930131459,True
network_091,Full DMWA,2.9935897435897436,3.741876863628245,0.8000235851393201,0.5,1.0,-0.3750184253468877,True
network_092,Coverage,10.247967479674795,11.739611088571142,0.872939265394532,0.5,1.0,-0.4272224657301671,True
network_092,Constant bias,7.857723577235773,9.018439154399266,0.8712952920908397,0.5,1.0,-0.4261417403046519,True
network_092,Full DMWA,7.857723577235771,9.012423127332955,0.871876904381553,0.5,1.0,-0.42652455009728296,True
network_093,Coverage,4.730769230769231,6.205655153454899,0.7623319558992012,0.5,1.0,-0.3441177480088322,True
network_093,Constant bias,3.519230769230769,4.883944682428629,0.7205713819593814,0.5,1.0,-0.30610621998281706,True
network_093,Full DMWA,3.519230769230769,4.882716553488672,0.7207526242161855,0.5,1.0,-0.30628070824751225,True
network_094,Coverage,4.055555555555555,4.909529033543105,0.8260579635739,0.5,1.0,-0.39471559860427474,True
network_094,Constant bias,2.8611111111111107,3.7802686919500696,0.7568539022646015,0.5,1.0,-0.33937051985338634,True
network_094,Full DMWA,2.8611111111111107,3.777246544882247,0.7574594554828836,0.5,1.0,-0.33989866205941305,True
network_095,Coverage,7.696078431372548,9.129533959511367,0.8429869986248958,0.5,1.0,-0.40687104212091785,True
network_095,Constant bias,5.882352941176471,7.072457619822716,0.8317268561199131,0.5,1.0,-0.39884110231506964,True
network_095,Full DMWA,5.882352941176471,7.069425891627663,0.8320835427588194,0.5,1.0,-0.39909879921164915,True
network_096,Coverage,4.883333333333334,5.574899913005819,0.8759499559697722,0.5,1.0,-0.42919113518711755,True
network_096,Constant bias,3.7055555555555553,4.404036474087589,0.8413998333933548,0.5,1.0,-0.40575219989822897,True
network_096,Full DMWA,3.7055555555555553,4.403838861148751,0.8414375894282728,0.5,1.0,-0.4057788643127619,True
network_097,Coverage,7.410256410256411,8.267445113059718,0.896317581661444,0.5,1.0,-0.44216200794233773,True
network_097,Constant bias,5.628205128205129,6.425047951380303,0.8759786963140116,0.5,1.0,-0.42920986308922193,True
network_097,Full DMWA,5.628205128205129,6.422394916592082,0.8763405554001069,0.5,1.0,-0.4294455541068558,True
network_098,Coverage,4.826388888888888,6.154338528269234,0.7842254479046669,0.5,1.0,-0.36242823879800856,True
network_098,Constant bias,3.576388888888889,4.82123032710455,0.741800048170844,0.5,1.0,-0.3259639154339271,True
network_098,Full DMWA,3.576388888888888,4.817592130940871,0.7423602479586463,0.5,1.0,-0.32647255645098594,True
network_099,Coverage,3.694444444444444,3.75845499878991,0.9829689182480368,0.5,1.0,-0.49133691745700553,True
network_099,Constant bias,2.819444444444444,2.962958267854364,0.9515640078475199,0.5,1.0,-0.47454927269577835,True
network_099,Full DMWA,2.819444444444444,2.9619257770127727,0.9518957113395236,0.5,1.0,-0.47473237451990247,True
network_100,Coverage,7.587719298245615,8.643676944837662,0.8778346699754084,0.5,1.0,-0.4304166637505831,True
network_100,Constant bias,5.7894736842105265,6.717640975645141,0.8618313638969852,0.5,1.0,-0.41984009755792007,True
network_100,Full DMWA,5.7894736842105265,6.715520792668235,0.8621034560016949,0.5,1.0,-0.4200232042695615,True
