variant,metric,n,median,q25,q75,mean,minimum,maximum
Constant bias,total_fraction,100,0.0029130188751630426,0.0014966130202458635,0.005829243455197673,0.0044560050305314045,3.41163263444616e-05,0.022184768347358042
Constant bias,spatial_TV_mean,100,0.0014217699102143128,0.000988875209712742,0.0024878756509726244,0.0019200391570686859,0.0002907709541131594,0.010278424957453073
Coverage,total_fraction,100,1.3151519686230458e-16,1.0125719488568257e-16,1.9552040748289927e-16,1.637257796462541e-16,6.330558313426926e-17,5.888948012141124e-16
Coverage,spatial_TV_mean,100,9.328800752717026e-17,8.155910842522207e-17,1.1106743237794536e-16,1.0810481606031084e-16,6.486022656460033e-17,3.559999517399604e-16
Full DMWA,total_fraction,100,0.0032041288947707984,0.0014346115381807135,0.0056976807087878185,0.00461737664200559,7.245349495541806e-05,0.02345726148234034
Full DMWA,spatial_TV_mean,100,0.0016901696541520093,0.0010923967572738654,0.0024590303219062105,0.002084296206853944,0.00039608430998445477,0.009777249969239512
