context,median,q25,q75,label
Nodes,0.8246725144946956,0.46682980815085,1.4507457811369122,0.825%
"Nodes +
order",0.06932515149451851,0.05490095541765849,0.100389429477924,0.069%
"Nodes +
order + degree",2.243671119866287e-14,2.020298608249459e-14,2.5637943789181785e-14,"Numerical
zero"
