network,family,is_toy,variant,total_fraction,spatial_TV_mean,spatial_TV_t1,spatial_TV_t10,spatial_TV_max,total_ratio_t1,total_ratio_t10
toy_0,Triangle,True,Coverage,1.7755933812187166e-16,2.7478019859472612e-17,0.0,0.0,8.326672684688674e-17,1.0,0.9999999999999999
toy_0,Triangle,True,Constant bias,0.11054044615020173,3.247402347028584e-17,0.0,0.0,8.326672684688674e-17,1.1061833779932524,1.1861117726517678
toy_0,Triangle,True,Full DMWA,0.11054044615020173,3.247402347028584e-17,0.0,0.0,8.326672684688674e-17,1.1061833779932524,1.1861117726517678
toy_1,Triangle + branches,True,Coverage,1.0526606782604191e-16,5.011182441228001e-17,5.898059818321144e-17,2.7755575615628914e-17,1.5265566588595902e-16,0.9999999999999998,1.0
toy_1,Triangle + branches,True,Constant bias,0.15571759702672555,0.009296209371946852,0.024888941354169997,0.0005451385559123931,0.025205927632522662,1.15471521323683,1.2439126498259228
toy_1,Triangle + branches,True,Full DMWA,0.162323497943242,0.009348422798561521,0.02523690629829839,0.000534576685983168,0.02553465659656739,1.1622354998837938,1.2552534800072614
toy_2,Double triangle,True,Coverage,1.4505859247739987e-16,4.08006961549745e-17,9.020562075079397e-17,2.7755575615628914e-17,1.5265566588595902e-16,1.0000000000000002,1.0000000000000002
toy_2,Double triangle,True,Constant bias,0.0716732497112332,0.002327030256395065,0.005002406224630503,0.00033724947955930673,0.005201111241348616,1.0670543238340904,1.117560174128819
toy_2,Double triangle,True,Full DMWA,0.07379865103368552,0.002657162910528259,0.005988203403948764,0.0003428548254241909,0.006250287288149289,1.0691665607869731,1.121187750861921
network_001,Random,False,Coverage,1.348706604257317e-16,9.294648384283733e-17,2.1684043449710089e-16,9.540979117872439e-17,2.393918396847994e-16,1.0000000000000002,0.9999999999999999
network_001,Random,False,Constant bias,0.003264003556054842,0.0007756770715956062,0.0012733016037287225,0.00016716432561461082,0.001521334790902669,0.997065645545896,0.9954679189691831
network_001,Random,False,Full DMWA,0.0034324501078388412,0.0006960914779679972,0.0012070078633855622,9.571341351667217e-05,0.0014430148329958193,0.9968299374497044,0.9954296585961667
network_002,Core-periphery,False,Coverage,1.364068910643318e-16,8.831910897066919e-17,1.4224732503009818e-16,9.020562075079397e-17,1.7997756063259374e-16,1.0,0.9999999999999999
network_002,Core-periphery,False,Constant bias,0.0009701968996932332,0.001013497317431032,0.0016858900834067578,0.00018819557286245967,0.0020166250919738116,0.9989264437877975,0.9992863223074844
network_002,Core-periphery,False,Full DMWA,0.0009053230304541465,0.0014345037539490362,0.002318487950338984,0.00031142953153143454,0.002793466906959712,0.9991008286335298,0.9990524610934696
network_003,Modular,False,Coverage,1.8502861981505777e-16,1.6782799108772118e-16,3.2612801348363973e-16,5.334274688628682e-17,4.649058915617843e-16,1.0000000000000004,1.0000000000000004
network_003,Modular,False,Constant bias,0.0022899163071637275,0.0020627718278234852,0.002300008344863328,0.0011214300520138124,0.002989373972735446,1.0021292633371603,1.0033239831045626
network_003,Modular,False,Full DMWA,0.002626106804924247,0.0023297285701111294,0.002760338201481489,0.0011905478121072553,0.003520069548696691,1.0023763057140689,1.0039738449864826
