variant,projection,n,median,q25,q75,mean,minimum,maximum
Constant bias,Node,100,0.008032726489159557,0.004516760770292732,0.014638520932060766,0.01099613665219003,0.0018814761763033484,0.058445833111891846
Constant bias,Node + order,100,2.4653603395732515e-16,2.2615448738514986e-16,2.7383884082707677e-16,2.5287980736173745e-16,1.988956605108975e-16,4.2082857651643445e-16
Coverage,Node,100,2.5470011259788557e-16,2.3903577248677855e-16,2.7371586896142497e-16,2.588577859588107e-16,2.170546851491575e-16,3.616127337528042e-16
Full DMWA,Node,100,0.008246725144946964,0.004668298081508505,0.014507457811369123,0.011268364773325214,0.001930361569223053,0.059329575169536464
Full DMWA,Node + order,100,0.0006932515149451902,0.0005490095541765886,0.001003894294779241,0.0007975762690646319,0.00016161458267857862,0.0023310417809613007
Full DMWA,Node + order + degree,100,2.243671119866287e-16,2.0202986082494592e-16,2.5637943789181783e-16,2.337464871247234e-16,1.7869056064036735e-16,3.6360208041216814e-16
